Unnamed: 0,cd_loc,latlong
86,문현동 무지개다리 부근,"[35.142535, 129.064253]"
87,용호동 용호사거리CCTV,"[35.12595260000001, 129.1098341]"
88,대연동 수영로266번길 81 부근,"[35.1334402, 129.0992782]"
89,문현2동 전포대로67번길 부근,"[35.1443594, 129.0642591]"
90,감만동 8 부두로 11 부근(교차로모퉁이),"[35.1184259, 129.0792013]"
91,우암동 장고개로 16 부근(횡단보도),"[35.1266306, 129.0712543]"
92,대연동 유엔로157번길 우주부동산 부근,"[35.1321438, 129.0935301]"
93,문현동 메가마트 뒤 CCTV(교차로모퉁이),"[35.5384138, 129.3147539]"
94,감만동 감만터미널CCTV,"[35.115524, 129.081242]"
95,대연동 유엔평화로47번길 부일마이우스 부근,"[35.1307995, 129.0968608]"
96,감만동 부산은행 앞 CCTV,"[35.1161487, 129.0814498]"
97,감만동 521-10 부근(횡단보도위),"[35.10911189999999, 129.0794021]"
98,용호동 백운포로 해군작전사령부 부근,"[35.0969528, 129.1014612]"
99,감만동 북항로 134 부근(횡단보도),"[35.10911189999999, 129.0794021]"
100,대연동 대천사거리 CCTV,"[35.1330623, 129.0869138]"
101,대연 부산은행건너편CCTV,"[35.1348935, 129.0922523]"
102,대연동 수영로325번길 혁신지구 부근(횡단보도),"[35.143225, 129.0977168]"
103,대연동 진남로 오양대연양지맨션 부근,"[35.1377263, 129.0853085]"
104,문현동 고동골로18번길 7-11  우노빌 부근,"[35.1391249, 129.0714366]"
105,문현동 고동골로28번길 7 부근,"[35.1396753, 129.0716819]"
106,감만동 8부두로 11 부근(교차로 모퉁이),"[35.1184259, 129.0792013]"
107,대연동 교보문고 앞 CCTV,"[35.13767, 129.1017052]"
108,우암동 우암로 우암주유소 부근(인도),"[35.1249221, 129.0745598]"
109,대연동 석포농협 앞 CCTV(곡각지),"[35.1291478, 129.0915595]"
110,감만동 우암로26번길 솔개다리 부근(횡단보도),"[35.1137429, 129.0840807]"
111,대연사거리하나투어CCTV(곡각지),"[35.1352058, 129.0905928]"
112,문현동 전포대로110번길 디온플레이스 부근,"[35.1468138, 129.0669875]"
113,문현동 문현로 대성주유소 부근,"[35.1437248, 129.0764076]"
114,대연동 유엔평화로17번길 20 부근,"[35.1332572, 129.0930994]"
115,감만동 남광시장CCTV,"[35.1235892, 129.0875586]"
116,문현동 문현금융로 부산은행본점 부근,"[35.1453836, 129.0657819]"
117,용호동 동명로145번길 15 부근,"[35.1202709, 129.1128124]"
118,대연동 수영로334번길 13 부근(곡각지),"[35.1378563, 129.1027261]"
119,감만동 8부두로 27 부근,"[35.1177166, 129.0780763]"
120,감만동 무민사로 판테라 오피스텔 부근,"[35.1118439, 129.0802181]"
121,용호동 용호시장CCTV,"[35.1150231, 129.1126769]"
122,용호동 분포로 동서아이에스 W 아파트 부근,"[35.1295917, 129.11584]"
123,용호동 용주로6번길 26 부근,"[35.1119487, 129.1113127]"
124,대연4동 석포로부근,"[35.1298107, 129.0914192]"
125,대연동 유엔평화로17번길 윤스헤어 부근,"[35.1332315, 129.092952]"
126,대연동 클럽클리오앞CCTV(자전거도로),"[35.1414268, 129.0932454]"
127,용호3동 토영아파트 부근,"[35.1240618, 129.114445]"
128,용호동 분포로 하이츠자이 아파트 부근,"[35.1327553, 129.1109465]"
129,대연동 남구청사거리CCTV(곡각지),"[35.1365783, 129.0842468]"
130,문현동 문현금융로 이마트 부근,"[35.1443594, 129.0642591]"
131,대연동 수영로266번길 은하유치원 부근,"[35.1343936, 129.0978907]"
132,대연동 못골로12번길 창원손칼국수 부근,"[35.1354056, 129.0880444]"
133,대연1동 유엔평화로 부근,"[35.1328758, 129.091826]"
134,문현동 수영로13번길 부산한빛교회 부근,"[35.1384345, 129.0702052]"
135,문현동 자성로,"[35.137165, 129.0668551]"
136,용호동 용호로,"[35.1166519, 129.1108923]"
137,용호동 분포로 더블유 공사현장 부근,"[35.1295917, 129.11584]"
138,용호동 분포로 더블유 공사현장 부근(커브길),"[35.1295917, 129.11584]"
139,용호동 분포로 동서아이에스 W 부근,"[35.1295917, 129.11584]"
140,문현2동 문현금융로 부근,"[35.1472297, 129.0657929]"
141,대연동 용소로7번길 85 부근,"[35.138701, 129.1045019]"
142,용호동 베스트부동산CCTV,"[35.1313564, 129.1131883]"
143,용호동 부산은행 메트로자이부근,"[35.131672, 129.110834]"
144,대연동 수영로358번길 27 부근,"[35.1382895, 129.1054401]"
145,대연동 유엔평화로13번길 64 부근,"[35.1338198, 129.0955812]"
146,대연동 유엔로157번길 까망머리 부근,"[35.1324543, 129.0932882]"
147,문현동 문현금융로 부산은행본점 부근(횡단보도),"[35.1453836, 129.0657819]"
148,감만동 양지골로 54 부근,"[35.1126871, 129.0866366]"
149,문현동 현대1차 인근CCTV(정류장),"[35.1446256, 129.0786042]"
150,용호동 동명로146번길 돼지꿈 돼지갈비 전문점 부근,"[35.1186713, 129.1128762]"
151,대연동 석포초교 앞 CCTV(스쿨존),"[35.12645, 129.091336]"
152,우암2동 우암번영로 부근,"[35.125957, 129.070596]"
153,대연동 유엔평화로10번길 이룸빌 부근,"[35.1337825, 129.0913913]"
154,대연동 수영로 혁신 아파트 부근,"[35.1367943, 129.0955925]"
155,대연동 파크푸르지오CCTV(인도),"[35.1298105, 129.0913635]"
156,대연동 수영로 195-8 부근,"[35.1352754, 129.0880998]"
157,용호2동 용주로 부근,"[35.1148343, 129.1134427]"
158,용호동 용호로160번길 경희자강한의원 부근,"[35.1181486, 129.1113936]"
159,감만동 무민사로 돼지식당 부근,"[35.1108488, 129.0804189]"
160,문현2동 한국은행 부근,"[35.1454134, 129.0642275]"
161,대연동 용소로22-1앞CCTV,"[35.1353148, 129.1006048]"
162,용호2동 용주로 부근(곡각지),"[35.1129491, 129.114103]"
163,대연동 평화공원앞CCTV,"[35.1269223, 129.1008906]"
164,용호동 동명로 동보빌라 부근,"[35.1184514, 129.1167783]"
165,대연동 유엔평화로41번가길 쌍둥이돼지국밥 2호점 부근,"[35.1317717, 129.0924004]"
166,대연동 수영로325번길 혁신 부근,"[35.1405339, 129.099889]"
167,용호동 용호로 245 부근,"[35.1104582, 129.1115601]"
168,대연동 수영로334번길 수협 대연지점 부근,"[35.1382384, 129.1024349]"
169,대연동 용소로19번길 삼호맨션 부근,"[35.1367268, 129.1060843]"
170,대연동 수영로345번길 혁신아파트 부근,"[35.1367943, 129.0955925]"
171,문현동 국제금융단지CCTV,"[35.1472297, 129.0657929]"
172,대연동 수영로 대연혁신지구 부근,"[35.1416391, 129.1011804]"
173,대연동 석포농협 앞 CCTV,"[35.1291478, 129.0915595]"
174,감만동 양지골로 대유그린빌 부근,"[35.12014509999999, 129.0864755]"
175,감만동 양지골로 대유그린빌 부근(곡각지),"[35.1153401, 129.0867534]"
176,감만동 무민사로 합천돼지국밥 부근(직각/횡단보도),"[35.111245, 129.1112735]"
177,감만동 우암로 39 부근,"[35.1142056, 129.0814274]"
178,감만1동 우암로 부근,"[35.1168676, 129.0806706]"
179,감만동 현대@사거리CCTV(곡각지),"[35.1122016, 129.0845592]"
180,용호동 성모약국 앞 CCTV,"[35.1116204, 129.1111247]"
181,용호1동 분포로 145 부근,"[35.1295917, 129.11584]"
182,대연동 진남로70번길 7 부근,"[35.1384303, 129.0874845]"
183,대연동 유엔로 197 부근(횡단보도),"[35.1304041, 129.0977167]"
184,대연동 수영로334번길 33 부근,"[35.1371209, 129.1032066]"
185,대연경성대부경대역CCTV(인도),"[35.1379815, 129.1008275]"
186,용당동 신선대산복로 현대아이파크아파트 부근,"[35.1187566, 129.0990577]"
187,대연동 못골로41번길 신대연부동산 부근,"[35.136981, 129.0870383]"
188,대연동 황령대로492번길 초원복국 부근,"[35.1376156, 129.1060843]"
189,감만동 북항로 동원터미널(구.동부터미널) 부근(안전지대),"[35.1087722, 129.0804289]"
190,문현동 전포대로 문현역2번출구 부근,"[35.139125, 129.067386]"
191,대연동 유엔평화로41번가길 4 부근,"[35.1313725, 129.0927878]"
192,문현동 수영로 시티프라자 부근,"[35.1363929, 129.0704488]"
193,용호동 신선로 566 부근(정류장),"[35.1327668, 129.1109547]"
194,대연동 수영로358번길 24 부근,"[35.1384378, 129.1050887]"
195,대연동 진남로 동일참치 부근,"[35.1355949, 129.0916625]"
196,대연동 석포농협CCTV,"[35.1227923, 129.0842258]"
197,대연동 수영로 일동지에닌 부근,"[35.1354211, 129.089447]"
198,우암동 우암로154번길 우암자유2차아파트 부근,"[35.12625540000001, 129.0812536]"
199,우암동 유엔로38번길 영남빌로체 아파트 부근,"[35.12625540000001, 129.0812536]"
200,우암동 우암로154번길 60 부근,"[35.12625540000001, 129.0812536]"
201,감만2동 석포로26번가길 부근,"[35.1225314, 129.0845603]"
202,우암동 유엔로38번길 영남빌로체 부근,"[35.1258136, 129.0824106]"
203,용호동 분포로 하이츠자이 상가 부근(횡단보도),"[35.1327553, 129.1109465]"
204,용호동 분포로 145 부근,"[35.1295917, 129.11584]"
205,대연동 수영로 경성대부경대역 부근(인도),"[35.1379815, 129.1008275]"
206,문현4동 아시아공동체학교 부근,"[35.1328561, 129.0690733]"
207,문현동 장고개로93번길 34-6 부근,"[35.1343353, 129.0685418]"
208,문현동 자유평화로60번길 46 부근,"[35.1395741, 129.0666043]"
209,용호3동 환경공단남부사업소부근,"[35.1258233, 129.1149922]"
210,문현2동 문현이마트부근,"[35.1443594, 129.0642591]"
