Unnamed: 0,cd_loc,latlong
1204,대연동 황령대로492번길 남천중학교 후문 부근(인도),"[35.1364491, 129.1052233]"
1205,문현동 전포대로 대동레미안 부근(교각밑),"[35.1424987, 129.0671648]"
1206,문현동 전포대로 68 부근(인도),"[35.1428735, 129.0670808]"
1207,문현동 고동골로 64 부근(인도/횡단보도),"[35.1427005, 129.0714626]"
1208,문현동 수영로49번길 문현스크린골프존 부근,"[35.13678180000001, 129.0730874]"
1209,대연동 홍곡로 대연6구역 주택재개발 현장 부근,"[35.1354904, 129.0853232]"
1210,대연동 황령대로492번길 부경밀면 부근,"[35.1377812, 129.1064117]"
1211,감만1동 감만사거리 부근,"[35.1168676, 129.0806706]"
1212,문현동 전포대로40번길 15 부근,"[35.1409657, 129.0674345]"
1213,용호동 용호로216번가길 46 부근,"[35.1114636, 129.110586]"
1214,문현동 전포대로67번길 40 부근,"[35.1428534, 129.0644447]"
1215,대연동 용소로28번길 18 부근,"[35.1349388, 129.0997947]"
1216,대연동 수영로346번길 아침햇살 부근(곡각지),"[35.1374758, 129.1037788]"
1217,대연동 용소로11앞CCTV(자전거도로),"[35.1364053, 129.1008225]"
1218,대연동 용소로21번길 109 부근,"[35.137572, 129.1054435]"
1219,대연동 수영로208번길 토종순대국 부근,"[35.1343611, 129.089388]"
1220,대연동 못골로 남부교육지원청 부근,"[35.1361987, 129.0855307]"
1221,대연3동 세영타워부근,"[35.1377823, 129.1064454]"
1222,대연동 수영로 가야밀면 부근,"[35.137049, 129.0902389]"
1223,문현동 고동골로 124-9 부근,"[35.1447945, 129.0751169]"
1224,대연동 수영로325번길 푸르지오 아파트 상가 부근,"[35.1390598, 129.1020569]"
1225,문현1동 문현역 부근,"[35.139125, 129.067386]"
1226,감만동 양지골로 37 부근,"[35.1120602, 129.0859723]"
1227,문현동 전포대로20번길 레미안 부근,"[35.1394758, 129.0692821]"
1228,대연동 용소로40번길 22 부근(곡각지),"[35.1338836, 129.099779]"
1229,대연동 용소로8번길 대박힐링 부근,"[35.1358556, 129.0986292]"
1230,대연동 수영로 대연역 부근(인도),"[35.135144, 129.091861]"
1231,대연동 유엔로157번가길 91 부근(교차로모퉁이),"[35.132851, 129.0983552]"
1232,문현동 고동골로 86-41 부근(횡단보도),"[35.1453077, 129.0741645]"
1233,대연동 수영로293번길 대연화목맨션 부근,"[35.136532, 129.097696]"
1234,대연경성대부경대역CCTV(자전거도로),"[35.1379815, 129.1008275]"
1235,감만동 양지골로298번길 15 부근,"[35.1198047, 129.0870065]"
1236,대연동 수영로 광진가스 부근,"[35.1347268, 129.0896415]"
1237,대연동 못골로 파리바게트 부근,"[35.1356433, 129.0870584]"
1238,대연동 못골로 46-2 부근,"[35.1356768, 129.0874555]"
1239,용호동 동명로101번길 2 부근(교차로모퉁이),"[35.1199368, 129.1082562]"
1240,대연동 수영로346번길 블랙야크 부근,"[35.13873220000001, 129.1033804]"
1241,감만 천지매매상사앞CCTV(인도),"[35.1099717, 129.0823434]"
1242,감만동 양지골로 이원맨션 부근,"[35.11670110000001, 129.086059]"
1243,우암동 유엔로부근,"[35.1251999, 129.0785594]"
1244,용호동 동명로92번길 52 부근,"[35.1171081, 129.1069903]"
1245,대연동 유엔평화로29번길 플러스빌 부근,"[35.1322571, 129.0970961]"
1246,대연동 유엔평화로47번길 132 부근,"[35.1305392, 129.0995168]"
1247,대연동 유엔평화로47번길 가연장 미역국전문점 부근,"[35.1306321, 129.0924257]"
1248,문현동 자유평화로 대성캐슬인도어 부근,"[35.1415801, 129.0663966]"
1249,대연3동 용소로7번길 부근,"[35.1377761, 129.1028034]"
1250,대연동 수영로334번길 미진축산 부근,"[35.1377937, 129.1024717]"
1251,대연5동 못골번영로 부근,"[35.1402566, 129.0887312]"
1252,대연동 유엔로169번길 6 부근,"[35.1305025, 129.0949015]"
1253,감만동 8부두로 9부근,"[35.1184898, 129.0793185]"
1254,감만동 석포로26번길 한울시너스 부근(안전지대),"[35.121192, 129.0849366]"
1255,문현2동 문현역 부근,"[35.139125, 129.067386]"
1256,용호동 분포로 lg메트로 부근,"[35.1298466, 129.1110979]"
1257,문현3동 고동골로 부근,"[35.1381705, 129.0716986]"
1258,문현1동 남도맨션부근,"[35.1441698, 129.0746981]"
1259,용호동 용호로부근,"[35.1129687, 129.1096745]"
1260,대연동 수영로358번길 17 부근,"[35.1387091, 129.1049411]"
1261,대연동 새마을금고부근,"[35.1296441, 129.0905304]"
1262,문현동 고동골로부근,"[35.143531, 129.0738094]"
1263,대연4동 새마을금고부근,"[35.1296441, 129.0905304]"
1264,대연동 유엔평화로13번길 항도빌라 부근(곡각지),"[35.1340603, 129.0943355]"
1265,대연동 용소로7번길 구세군부산요양원 부근,"[35.139171, 129.1054454]"
1266,대연동 석포로83번길 한일빌라 부근(직각),"[35.1269694, 129.0887862]"
1267,문현동 전포대로40번길 태영데시앙아파트 부근(안전지대),"[35.1416397, 129.0679179]"
1268,대연동 황령대로492번길 대영온천 부근(인도/횡단보도),"[35.1379197, 129.1068247]"
1269,대연동 신선로 462-1 부근(인도),"[35.1263825, 129.1016417]"
1270,대연동 신선로 한국산업인력공단 부근,"[35.126474, 129.101446]"
1271,용호동 176-11(분포로) 부근,"[35.1295917, 129.11584]"
1272,문현동 베스티움@앞CCTV(횡단보도),"[35.1397443, 129.0705649]"
1273,용호동 분포로 분포초등학교정문 부근,"[35.12888969999999, 129.1143634]"
1274,문현동 남동천로 무지개다리 부근(횡단보도),"[35.142535, 129.064253]"
1275,대연동 수영로346번길 8 부근,"[35.1376615, 129.104215]"
1276,문현동 수영로 양우내안에 공사현장 부근(인도연결),"[35.1388787, 129.0775542]"
1277,대연동 수영로219번길 12-1 부근(교차로모퉁이),"[35.1357285, 129.0906383]"
1278,대연동 수영로123번길 새순교회 부근,"[35.1243393, 129.0995297]"
1279,감만동 우암로70번길 수경피아노 부근,"[35.1171236, 129.0823118]"
1280,대연동 진남로127번길 새순교회 부근,"[35.1243393, 129.0995297]"
1281,대연동 석포로83번길 47 부근(직각주차),"[35.1272864, 129.088801]"
1282,문현동 문현로66번길 송정경로당 부근,"[35.1387297, 129.073423]"
1283,대연동 용소로11앞CCTV(인도),"[35.1364053, 129.1008225]"
1284,감만2동 부마힐타워아파트부근(인도),"[35.1241361, 129.0882851]"
1285,문현동 수영로39번길 강동섭소아청소년과 부근(안전지대),"[35.1371151, 129.072143]"
1286,대연동 수영로267번길 남구민방위교육장 부근,"[35.1374514, 129.095199]"
1287,문현동 수영로,"[35.1371965, 129.0853385]"
1288,문현동 고동골로 124-7 부근,"[35.1448962, 129.0751314]"
1289,용호동 동명로132번길 78 부근,"[35.1165274, 129.1100494]"
1290,문현동 수영로 삼한사랑채 부근,"[35.1363929, 129.0695322]"
1291,용당동 신선로부근,"[35.1134238, 129.0931695]"
1292,대연동 홍곡로 대연파크 푸르지오 아파트 부근,"[35.1214776, 129.0879274]"
1293,대연동 못골번영로 28 부근,"[35.1376462, 129.0891792]"
1294,문현동 우암로374번길 6 부근,"[35.1349716, 129.0677239]"
1295,용호동 동명로 전원유치원 부근,"[35.1186181, 129.1171949]"
1296,대연3동 반도보라맨션부근,"[35.1367268, 129.1060843]"
1297,남구 문현2동 양지경로당 부근,"[35.1426667, 129.0537297]"
1298,문현1동 현대대성주유소 부근(직각),"[35.1437248, 129.0764076]"
1299,대연동 못골로41번길 오양대연양지맨션 부근,"[35.1377263, 129.0853085]"
1300,감만동 양지골로 216 부근,"[35.1176896, 129.0850443]"
1301,문현동 고동골로 베스티움아파트 부근,"[35.1397443, 129.0705649]"
1302,감만동 양지골로 236 부근,"[35.1153706, 129.0859562]"
1303,용호동 동명로132번길 54 부근,"[35.12525, 129.1103549]"
1304,대연동 못골로 성소병원 부근,"[35.135009, 129.085745]"
1305,대연동 못골로12번길 69 부근,"[35.1355389, 129.0876556]"
1306,문현동 고동골로59번길 태영데시앙아파트 부근(횡단보도),"[35.1416266, 129.0691997]"
1307,대연동 수영로322번길 22 부근(교차로 모퉁이),"[35.1367528, 129.1016611]"
1308,대연부산은행건너편CCTV(곡각지),"[35.1348935, 129.0922523]"
1309,대연동 수영로334번길 16 부근(곡각지),"[35.1366959, 129.1031375]"
1310,대연동 용소로8번길 16 부근,"[35.1363514, 129.0994128]"
1311,감만동 우암로104번길 감만동일아파트 부근,"[35.1189375, 129.0827856]"
1312,감만동 감만터미널CCTV(횡단보도),"[35.1083685, 129.0730604]"
1313,문현동 장고개로63번길 11 부근,"[35.1307942, 129.0698177]"
1314,대연동 천제등로 59-26 부근,"[35.1305886, 129.0904535]"
1315,용호1동 분포로 145 부근(소화전),"[35.1295917, 129.11584]"
1316,대연동 수영로 300 부근(인도),"[35.136681, 129.0992417]"
1317,대연동 유엔로157번길 32 부근,"[35.13160390000001, 129.0935162]"
1318,문현동 고동골로 15-1 부근(횡단보도위),"[35.1384341, 129.0709623]"
1319,용당동 유엔평화로143번길 해수한의원 부근,"[35.1239774, 129.0971647]"
1320,용호동 동명로146번길 13 부근,"[35.11882370000001, 129.1127664]"
1321,용호동 이기대공원로12번길 2 부근,"[35.1241491, 129.1138416]"
1322,대연동 용소로28번길 쥬씨 생과일주스전문점 부근(곡각지),"[35.135026, 129.1006426]"
1323,용호동 용호로216번가길 23 부근,"[35.1129687, 129.1096745]"
1324,용호동 용호로159번길 성경상사 부근,"[35.117251, 129.1154325]"
1325,문현동 남동천로 bifc분양사무소 부근,"[35.1472297, 129.0657929]"
1326,대연5동 대문약국부근,"[35.1361027, 129.0902143]"
1327,대연동 수영로346번길 43 부근,"[35.1384207, 129.1038937]"
1328,대연동 고려병원부근(인도),"[35.1349057, 129.09262]"
1329,용호동 용호로159번길 2 부근,"[35.1179504, 129.1167762]"
1330,대연동 수영로325번길 경성대 27호관 부근,"[35.1397716, 129.0984966]"
1331,용당동 유엔평화로143번길 30 부근,"[35.1246794, 129.0979054]"
1332,대연1동 수영로196번길 부근,"[35.1328758, 129.091826]"
1333,용호동 동명로 159 부근,"[35.1155121, 129.115598]"
1334,대연동 수영로346번길 이마트24 부근,"[35.1357391, 129.1040011]"
1335,대연동 못골번영로 엘리트어린이집 부근,"[35.1388502, 129.0891086]"
1336,감만동 양지골로298번길 14 부근,"[35.11997220000001, 129.0868472]"
1337,용호동 용호로160번길 서울컴퓨터세탁 부근,"[35.11805, 129.1110164]"
1338,문현동 문현로 이디야커피 부산문현현대점 부근(직각),"[35.14323, 129.0765043]"
1339,대연동 유엔로157번길 68 부근(횡단보도),"[35.1332278, 129.0934666]"
1340,대연동 119안전센타 부근(인도),"[35.1361997, 129.0971346]"
1341,문현동 문현역 부근(인도),"[35.139125, 129.067386]"
1342,문현1동 아이원통상부근(횡단보도),"[35.1480091, 129.0834877]"
1343,대연동 유엔로120번길 38 부근(횡단보도),"[35.1294871, 129.091356]"
1344,우암동 우암로154번길 뉴서울아파트 부근,"[35.1245056, 129.079476]"
1345,대연동 못골번영로 수니포차 부근,"[35.1363412, 129.0889621]"
1346,대연3동 반도보라맨션 부근,"[35.1367268, 129.1060843]"
1347,용호동 부산은행 부근,"[35.1193535, 129.1121539]"
1348,문현동 전포대로 13-5 부근,"[35.1377631, 129.0673269]"
1349,문현동 전포대로68번길 3 부근(인도),"[35.1428793, 129.0671369]"
1350,대연동 유엔평화로14번길 한솔아트빌 부근,"[35.1337825, 129.0913913]"
1351,용호동 용호로 42번길 삼성시장 부근(곡각지),"[35.1230509, 129.1094014]"
1352,대연동 수영로266번길 89 부근,"[35.1337439, 129.0985077]"
1353,문현동 전포대로 80 부근(인도),"[35.1443594, 129.0642591]"
1354,문현동 남동천로 이마트 부근,"[35.1443594, 129.0642591]"
1355,용당동 신선로329번길 용당세관 부근,"[35.1151256, 129.0949773]"
1356,용호동 동명로 129-2 부근(횡단보도),"[35.1199339, 129.1112346]"
1357,문현동 황령대로74번길 미래시티빌 부근(직각),"[35.1458033, 129.0678543]"
1358,대연동 홍곡로 대연6구역주택재개발 정비사업 부근,"[35.123826, 129.0878749]"
1359,문현동 전포대로92번나길 24 부근,"[35.1460647, 129.0683703]"
1360,대연동 수영로220번길 명가한의원 부근,"[35.1349055, 129.0906737]"
1361,대연동 수영로298번길 41 부근(곡각지),"[35.1351493, 129.1000649]"
1362,대연동 수영로 건강한약국 부근(곡각지),"[35.1351331, 129.0880858]"
1363,대연동 수영로250번가길 우리약국 부근(직각주차),"[35.1347074, 129.0965137]"
1364,대연동 수영로219번길 7 부근(교차로모퉁이),"[35.1354068, 129.0904222]"
1365,용호동 동명로132번길 60 부근,"[35.1171742, 129.1103097]"
1366,대연동 수영로 해인불교전시관 부근,"[35.1352255, 129.087026]"
1367,용당동 신선로 403 부근(직각),"[35.1214205, 129.0980503]"
1368,용호동 용호로42번길 이기대시장 부근,"[35.1322108, 129.1210029]"
1369,우암동 자유1차아파트 부근,"[35.12625540000001, 129.0812536]"
1370,용호동 분포고등학교 부근,"[35.1300057, 129.115169]"
1371,문현동 전포대로,"[35.1422239, 129.0672816]"
1372,용호동 용주로6번길 20 부근,"[35.1122218, 129.1113087]"
1373,용호동 용호로216번가길 40 부근(교차로모퉁이),"[35.1112248, 129.1100425]"
1374,대연동 석포로86번길 석포초 부근,"[35.12645, 129.091336]"
1375,문현동 수영로 대림시티 플라자 부근,"[35.1363929, 129.0704488]"
1376,문현1동 남동천로부근,"[35.1442273, 129.0731356]"
1377,대연동 못골로 영진돼지국밥 부근,"[35.1381591, 129.1037928]"
1378,대연동 유엔평화로14번길 8 부근,"[35.1338323, 129.0914985]"
1379,대연동 유엔평화로47번길 105 부근,"[35.1308004, 129.0979425]"
1380,대연동 황령대로319번가길 남부경찰서 부근,"[35.1530579, 129.0897521]"
1381,용당동 신선로 현대아파트 부근,"[35.1187566, 129.0990577]"
1382,감만동 양지골로 행복약국 부근(인도),"[35.1226202, 129.0856789]"
1383,문현동 전포대로20번길 이안아파트 부근,"[35.1381704, 129.06856]"
1384,대연동 유엔로157번길 95 부근(횡단보도),"[35.1345057, 129.0930908]"
1385,대연동 홍곡로 359 부근(횡단보도),"[35.124021, 129.0887575]"
1386,문현3동 문현4동주민센터 부근,"[35.1381705, 129.0716986]"
1387,용당동 유엔평화로153번길 1 부근,"[35.123065, 129.0977082]"
1388,대연1동 도남하이츠 부근,"[35.1308106, 129.0905026]"
1389,용당동 유엔평화로153번길 14 부근(곡각지),"[35.1232239, 129.0983861]"
1390,용호동 동명로118번길 89 부근,"[35.1161586, 129.1096925]"
1391,문현동 고동골로 문현통닭 부근,"[35.1396608, 129.0709805]"
1392,용호동 동명로118번길 유니어린이집 부근,"[35.1164134, 129.1094996]"
1393,문현동 수영로49번길 10 부근,"[35.1366062, 129.0735981]"
1394,용호동 동명로145번길 33돼지숯불갈비 부근,"[35.1210217, 129.1128237]"
1395,대연동 못골로 소머리국밥 부근,"[35.1356188, 129.086691]"
1396,대연동 못골로12번길 60 부근,"[35.1425573, 129.0723998]"
1397,대연3동 황령대로492번길 부근,"[35.1367268, 129.1060843]"
1398,감만동 양지골로 감만마을버스 부근,"[35.1223393, 129.0861144]"
1399,대연동 황령대로319번가길 다이소 부근(안전지대),"[35.1516189, 129.0895219]"
1400,문현동 진남로 대성주유소 부근,"[35.1437248, 129.0764076]"
1401,문현동 진남로198번길 현대1차아파트 부근(직각),"[35.1478083, 129.0736426]"
1402,대연동 못골로 백성사세탁 부근,"[35.1360069, 129.0925491]"
1403,대연동 대연역 부근(인도),"[35.135144, 129.091861]"
1404,대연동 황령대로492번길 삼익유치원 부근(인도),"[35.1375601, 129.1067787]"
1405,감만동 현대@사거리CCTV(사선),"[35.1120502, 129.0809651]"
1406,대연동 용소로22-1앞CCTV(자전거도로),"[35.1353148, 129.1006048]"
1407,대연동 용소로11앞CCTV(곡각지),"[35.1364053, 129.1008225]"
1408,문현동 전포대로92번길 미래시티빌 부근(안전지대),"[35.1460361, 129.0663506]"
1409,용당동 유엔평화로153번길 명가추어탕 부근,"[35.1230731, 129.0981409]"
1410,문현2동 전포대로92번나길부근,"[35.1458006, 129.068268]"
1411,대연동 못골로 롯데슈퍼 부근,"[35.135924, 129.0910246]"
1412,대연동 유엔평화로125번길 10 부근,"[35.124786, 129.0965903]"
1413,문현동 지게골로 삼한사랑채 부근,"[35.1363929, 129.0695322]"
1414,용호동 동명로145번길 형제주차장 부근,"[35.1563131, 129.1239053]"
1415,감만동 석포로64번길 63 부근,"[35.1210563, 129.0874565]"
1416,용호동 GS하이츠자이아파트부근(횡단보도),"[35.1327553, 129.1109465]"
1417,문현동 지게골로 메디뱅크 부근,"[35.1261809, 129.0466886]"
1418,감만동 석포로26번가길 34 부근,"[35.1219347, 129.0863085]"
1419,대연동 못골번영로 김선장 횟집 부근,"[35.135728, 129.0889814]"
1420,대연동 수영로196번길 42 부근(횡단보도),"[35.1329319, 129.0880774]"
1421,감만동 양지골로 럭키하이퐁 부근,"[35.11193859999999, 129.0853652]"
1422,대연동 수영로266번길 123 부근,"[35.1337439, 129.0985077]"
1423,남구 문현2동 남천동로 부근,"[35.1421344, 129.1099451]"
1424,대연동 남구청사거리CCTV(횡단보도),"[35.1365783, 129.0842468]"
1425,문현2동 양지경로당 부근,"[35.1478697, 129.0737274]"
1426,문현동 수영로49번길 14 부근,"[35.1366997, 129.07373]"
1427,대연동 황령대로319번가길 약수탕 부근(인도/횡단보도),"[35.1516663, 129.089185]"
1428,대연동 못골로41번길 광이골드타워 부근(곡각지),"[35.1371261, 129.0868249]"
1429,용호동 동명로 경동아파트 부근,"[35.117544, 129.117855]"
1430,문현동 전포대로122번길 8 부근,"[35.147766, 129.0673126]"
1431,용호3동 경동아파트 부근,"[35.117544, 129.117855]"
1432,문현동 국제금융단지CCTV(택시승강장),"[35.1472297, 129.0657929]"
1433,문현동 전포대로110번길 8 부근,"[35.1464684, 129.0673692]"
1434,대연3동 강원유리 부근(횡단보도),"[35.1347551, 129.1004736]"
1435,문현1동 현대대성주유소 부근(사선),"[35.1437248, 129.0764076]"
1436,대연동 진남로18번길 SK뷰아파트 부근,"[35.1370179, 129.0943]"
1437,대연동 수영로 274-15 부근,"[35.1354658, 129.0971745]"
1438,문현동 지게골로 97 부근,"[35.1352201, 129.0730719]"
1439,감만동 양지골로 35 부근,"[35.1153706, 129.0859562]"
1440,문현동 베스티움@앞CCTV(인도/횡단보도),"[35.1397443, 129.0705649]"
1441,대연동 유엔로157번길 연경 중화요리전문점 부근(횡단보도),"[35.1347403, 129.0930687]"
1442,대연동 수영로 345 부근,"[35.1399531, 129.1038909]"
1443,문현동 고동골로 홈플러스익스프레스문현점 부근,"[35.1429333, 129.0712996]"
1444,대연동 수영로 274-23 부근(교차로모퉁이),"[35.1351748, 129.0975514]"
1445,우암동 우암양달로75번길 석천아파트 부근,"[35.1283581, 129.0747681]"
1446,감만1동 우암로104번길 부근,"[35.1189375, 129.0827856]"
1447,용호동 백운포로 남구 빙상장 부근,"[35.1036856, 129.1094212]"
1448,대연동 유엔로157번길 73 부근(횡단보도),"[35.1334332, 129.0931709]"
1449,대연동 광명집 앞 CCTV,"[35.1255556, 129.1008333]"
1450,용호동 용호로216번가길 40 부근,"[35.1112248, 129.1100425]"
1451,문현동 전포대로67번길 15 부근(정류장),"[35.1426855, 129.0657067]"
1452,대연동 유엔로157번가길 91 부근,"[35.132851, 129.0983552]"
1453,용호동 분포로 145 부근(교차로모퉁이),"[35.1295917, 129.11584]"
1454,문현2동 남동천로 부근,"[35.139109, 129.067361]"
1455,대연동 부일전원빌라부근,"[35.1324493, 129.0889749]"
1456,남구 문현2동 두광골든밸류빌아파트 부근(사선),"[35.1452803, 129.0686712]"
1457,대연동 못골번영로 맛나리김밥 부근,"[35.1378978, 129.0891006]"
1458,대연동 황령대로319번가길 남부경찰서 주차장출구 부근,"[35.1530579, 129.0897521]"
1459,문현2동 무지개다리 부근(역주차),"[35.142535, 129.064253]"
1460,문현동 전포대로67번길 금융타운부동산 부근,"[35.1428276, 129.0662958]"
1461,용호동 동명로 120 부근(인도),"[35.1199525, 129.1099897]"
1462,감만동 양지골로 111 부근,"[35.1153401, 129.0867534]"
1463,대연동 수영로334번길 23 부근,"[35.1374817, 129.1029876]"
1464,대연동 황령대로492번길 36 부근,"[35.1370376, 129.1054963]"
1465,문현동 지게골로 시티프라자 부근,"[35.1363929, 129.0704488]"
1466,용호3동 용호중학교 부근,"[35.1192569, 129.1168616]"
1467,문현동 수영로 31 부근,"[35.1373947, 129.0703616]"
1468,대연동 수영로 혁신아파트 부근,"[35.1367943, 129.0955925]"
1469,감만동 양지골로 세배로마트 부근(인도),"[35.1224245, 129.0857689]"
1470,문현3동 수영로39번가길 부근,"[35.1387538, 129.0759204]"
1471,용당동 신선로 323 부근,"[35.1144666, 129.0939311]"
1472,문현동 전포대로67번길 9 부근(곡각/횡단보도),"[35.1426739, 129.0661027]"
1473,대연동 수영로220번길 후렌치바게트 부근,"[35.1342232, 129.0904339]"
1474,감만동 홍곡로 37 부근,"[35.1164309, 129.0832735]"
1475,감만동 남광시장CCTV(횡단보도),"[35.1239225, 129.0887252]"
1476,대연동 유엔로120번길 37 부근,"[35.1296886, 129.0912984]"
1477,감만동 양지골로 부경대후문 부근(안전지대),"[35.1153706, 129.0859562]"
1478,대연동 벽산E-쏘렌스빌 부근(인도),"[35.1414268, 129.0932454]"
1479,대연동 용소로40번길 11 부근,"[35.1339356, 129.1006115]"
1480,용호동 용호로198번길 이마트24편의점 부근,"[35.1354916, 129.0906176]"
1481,대연동 남구보건소부근,"[35.13604480000001, 129.0849818]"
1482,대연동 부산공업고등학교부근,"[35.1306439, 129.0879751]"
1483,문현1동 태양카센타부근,"[35.1442273, 129.0731356]"
1484,대연동 용소로28번길 21 부근,"[35.134764, 129.0997152]"
1485,문현3동 문현로부근,"[35.1381705, 129.0716986]"
1486,문현동 전포대로110번길 6 부근,"[35.1464961, 129.067296]"
1487,대연동 용소로14번길 23 부근,"[35.1354491, 129.0995294]"
1488,문현동 지게골로 146 부근,"[35.134116, 129.0752936]"
1489,대연동 진남로 67 부근(인도),"[35.1379625, 129.0879819]"
1490,용호동 용호로232번길 그린빌라 부근,"[35.1190067, 129.1071125]"
1491,대연동 렌즈미 앞 CCTV(횡단보도),"[35.1364043, 129.1002376]"
1492,감만동 무민사로 밀양돼지국밥 부근(횡단보도),"[35.11234719999999, 129.0809176]"
1493,감만동 양지골로 111 부근(곡각지),"[35.1144911, 129.0872979]"
1494,문현동 고동골로 베스티움 부근,"[35.1397443, 129.0705649]"
1495,대연동 부산은행건너편 CCTV,"[35.1348935, 129.0922523]"
1496,용호동 분포로 145 부근(인도/횡단보도),"[35.1295917, 129.11584]"
1497,감만동 남광시장 앞 CCTV(인도),"[35.1239225, 129.0887252]"
1498,문현동 문현금융로 40 부근,"[35.1472297, 129.0657929]"
1499,대연동 유엔평화로3번길 삼부자 황제갈비살 부근(곡각지),"[35.1346069, 129.0944671]"
1500,용호동 용주로6번길 22 부근,"[35.112073, 129.1113144]"
1501,문현동 수영로13번길 38-1 부근,"[35.1384383, 129.0706968]"
1502,대연동 수영로 268 부근,"[35.1354348, 129.0958179]"
1503,문현동 고동골로 132-1 부근(횡단보도),"[35.1448013, 129.07577]"
1504,용호동 신선로 566 부근(횡단보도),"[35.1327668, 129.1109547]"
1505,문현동 문현로 이디아커피 부근,"[35.14323, 129.0765043]"
1506,대연3동 부산지방경찰청제2기동대부근,"[35.1347551, 129.1004736]"
1507,문현동 문현교차로CCTV(사선),"[35.136865, 129.0678657]"
1508,문현동 현대1차 인근CCTV(횡단보도),"[35.1442273, 129.0731356]"
1509,문현동 전포대로 데시앙아파트 부근,"[35.1422239, 129.0672816]"
1510,대연동 수영로249번길 베르디사우나 부근,"[35.135699, 129.0935855]"
1511,문현2동 새마을금고 부근,"[35.1444309, 129.0672544]"
1512,용호동 현대비치 앞CCTV(정류장),"[35.118528, 129.111824]"
1513,대연동 수영로196번길 89 부근,"[35.1309136, 129.0889009]"
1514,대연동 수영로325번길 대연푸르지오 아파트 부근,"[35.1390598, 129.1020569]"
1515,대연동 석포로 정문호내과의원 부근,"[35.1241875, 129.0877779]"
1516,문현1동 대흥천보약국부근(횡단보도),"[35.1440864, 129.0716429]"
1517,용당동 유엔평화로153번길 9 부근,"[35.1231233, 129.0980469]"
1518,문현동 수영로 부근(인도),"[35.1466606, 129.065868]"
1519,대연동 신선로447번길 유엔평화교회 부근,"[35.1262151, 129.0960263]"
1520,대연동 수영로325번길 경성대 동문 부근(횡단보도),"[35.1397716, 129.0984966]"
1521,문현1동 동진하이빌부근,"[35.1433365, 129.0717818]"
1522,대연동 수영로 119안전센타 부근(인도),"[35.1361997, 129.0971346]"
1523,대연동 수영로220번길 피크닉카페(구. 후렌치바게트) 부근(곡각지),"[35.1342232, 129.0904339]"
1524,문현1동 아이원통상부근(인도),"[35.1466606, 129.065868]"
1525,용호동 용호로232번길 삼성맨션 부근,"[35.1120354, 129.1085848]"
1526,대연동 못골번영로 65 부근,"[35.1410736, 129.0886411]"
1527,감만동 부산은행 앞 CCTV(스쿨존),"[35.1161487, 129.0814498]"
1528,용호동 부산은행부근,"[35.1193535, 129.1121539]"
1529,문현동 수영로39번가길 진헤어아트 부근,"[35.1354001, 129.0850433]"
1530,대연동 황령대로319번가길 대우그린 2차아파트 부근,"[35.1509749, 129.0896966]"
1531,문현동 진남로232번길 26 부근,"[35.1459143, 129.0765111]"
1532,문현동 진남로232번길 22 부근,"[35.1459086, 129.076342]"
1533,감만동 석포로 국제숯불막창 부근(곡각/횡단보도),"[35.1218949, 129.0861977]"
1534,문현동 진남로198번길 4 부근(직각),"[35.1436777, 129.0775516]"
1535,대연동 수영로322번길 CU편의점 부경해오름점 부근,"[35.1360955, 129.1021712]"
1536,대연동 유엔평화로4번길 김밥나라 부근,"[35.134514, 129.091795]"
1537,대연동 광명집앞CCTV(곡각/횡단보도),"[37.4784878, 126.8642888]"
1538,대연동 천제등로 롯데슈퍼 부근(인도),"[35.135924, 129.0910246]"
1539,대연동 못골로 대박시티 부근,"[35.1357236, 129.0935735]"
1540,용호동 용호로232번길 협진태양 아파트 앞 신설도로 부근,"[35.1139518, 129.1080014]"
1541,문현3동 문일어린이집 부근,"[35.1397259, 129.0721707]"
1542,감만동 우암로 감만현대1차아파트 부근,"[35.111924, 129.082865]"
1543,용호3동 동명로163번길 부근,"[35.1202012, 129.1152784]"
1544,문현동 전포대로40번길 13 부근,"[35.1408813, 129.0673961]"
1545,감만동 남광시장CCTV(정류장),"[35.1239225, 129.0887252]"
1546,우암2동 우암역 부근(인도),"[35.1248074, 129.0730538]"
1547,용호동 용호로252번길 부산성모병원 부근,"[35.1106981, 129.1096188]"
1548,용호동 용호로197번길 새마을금고 부근,"[35.1146462, 129.112251]"
1549,대연동 대연비치 앞 CCTV(곡각지),"[35.136505, 129.108556]"
1550,용호동 동명로146번길 56 부근(소화전),"[35.117034, 129.1119368]"
1551,감만동 8부두로 항만운영단 부근,"[35.1121601, 129.0789279]"
1552,감만동 8부두로 35 부근(횡단보도),"[35.1170856, 129.0777795]"
1553,대연동 수영로346번길 영진돼지국밥 부근(교차로모퉁이),"[35.1381591, 129.1037928]"
1554,용당동 유엔평화로125번길 이안파크빌 부근(교차로모퉁이),"[35.124922, 129.0972037]"
1555,대연동 천제등로16번길 14 부근,"[35.1326602, 129.0866188]"
1556,문현동 문현로 45 부근(인도),"[35.1429921, 129.0740551]"
1557,문현동 현대1차 인근CCTV(인도),"[35.1442273, 129.0731356]"
1558,대연3동 경성대부경대역 부근,"[35.137604, 129.100533]"
1559,문현동 지게골로 문현4치안센터 부근,"[35.1333854, 129.0686248]"
1560,문현동 문현금융로 이마트 부근(인도/횡단보도),"[35.1443594, 129.0642591]"
